Start to record CBF use ratio, in 2026.02.28 20: 15: 38

62:  4.0466%, max:  3.3789e-01, min:  0.0000e+00, mean:  5.2016e-03, non_zero_mean:  6.2328e-03, 50%:  1.2070e-05, 75%:  1.2391e-03, 90%:  2.0077e-03, 95%:  2.5203e-03, 99%:  1.6352e-01
63:  3.8513%, max:  5.0036e-01, min:  0.0000e+00, mean:  4.9950e-03, non_zero_mean:  6.0174e-03, 50%:  1.2636e-05, 75%:  1.2391e-03, 90%:  2.0725e-03, 95%:  2.5654e-03, 99%:  1.6088e-01
64:  3.3752%, max:  4.8926e-01, min:  0.0000e+00, mean:  4.5718e-03, non_zero_mean:  5.5516e-03, 50%:  9.2387e-06, 75%:  1.1544e-03, 90%:  1.9457e-03, 95%:  2.4327e-03, 99%:  1.5695e-01
65:  4.3701%, max:  3.2879e-01, min:  0.0000e+00, mean:  5.4725e-03, non_zero_mean:  6.6667e-03, 50%:  9.1195e-06, 75%:  1.2092e-03, 90%:  2.0349e-03, 95%:  2.6817e-03, 99%:  1.7312e-01
66:  1.1353%, max:  3.1191e-01, min:  0.0000e+00, mean:  1.8004e-03, non_zero_mean:  2.1850e-03, 50%:  7.9572e-06, 75%:  1.1687e-03, 90%:  1.8870e-03, 95%:  2.2453e-03, 99%:  2.6231e-02
67:  0.9705%, max:  5.3422e-01, min:  0.0000e+00, mean:  1.3429e-03, non_zero_mean:  1.6429e-03, 50%:  7.2718e-06, 75%:  1.1431e-03, 90%:  1.8565e-03, 95%:  2.2090e-03, 99%:  7.1476e-03
68:  0.4578%, max:  5.8182e-01, min:  0.0000e+00, mean:  1.0671e-03, non_zero_mean:  1.3086e-03, 50%:  6.9030e-06, 75%:  1.2410e-03, 90%:  2.0328e-03, 95%:  2.3598e-03, 99%:  2.7883e-03
69:  0.4211%, max:  5.2142e-01, min:  0.0000e+00, mean:  1.0490e-03, non_zero_mean:  1.2882e-03, 50%:  6.8545e-06, 75%:  1.1355e-03, 90%:  1.8662e-03, 95%:  2.2217e-03, 99%:  2.7549e-03
70:  0.7385%, max:  3.7643e-01, min:  0.0000e+00, mean:  1.0666e-03, non_zero_mean:  1.3183e-03, 50%:  7.0482e-06, 75%:  1.1202e-03, 90%:  1.8425e-03, 95%:  2.2156e-03, 99%:  2.7935e-03
71:  1.0498%, max:  5.1856e-01, min:  0.0000e+00, mean:  1.7165e-03, non_zero_mean:  2.1200e-03, 50%:  6.6757e-06, 75%:  1.1096e-03, 90%:  1.9124e-03, 95%:  2.3184e-03, 99%:  1.9329e-02
